att,bi,block,cos_1000_2500,cos_1000_5000,cos_2500_5000,d_in,d_out,ds,fro,kind,layer,proj,rms,s1,s16,s_ratio,side,srank,step
0,0,down_0,,,,320,320,pets,0.24839978568878207,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,to_k,0.000776249330277444,0.10433047853793545,0.026307491977129432,0.252155384944044,down,5.668655112837729,1000
0,0,down_0,,,,320,320,pets,0.3832593520096896,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,to_k,0.0011976854750302799,0.169790562936209,0.03806774887348152,0.22420415019051282,down,5.095167028669771,2500
0,0,down_0,0.7002025738464452,0.594077806898832,0.7914172537413139,320,320,pets,0.5279143197600867,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,to_k,0.0016497322492502711,0.21613819550342392,0.054673185366384935,0.25295475998141587,down,5.965733411786546,5000
0,0,down_0,,,,320,320,pets,0.2715457123309413,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,to_out,0.0008485803510341917,0.13925030282899403,0.02674706569706638,0.19207904868912956,down,3.8027134680696904,1000
0,0,down_0,,,,320,320,pets,0.43854399641333935,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,to_out,0.0013704499887916854,0.2384820993058768,0.045042998604532085,0.1888737089099505,down,3.381541859632782,2500
0,0,down_0,0.7377858452825945,0.6149359404533644,0.8121741005439987,320,320,pets,0.6043287334684277,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,to_out,0.0018885272920888367,0.3296160994599504,0.05909765166328993,0.17929237000291157,down,3.361473221276392,5000
0,0,down_0,,,,320,320,pets,0.26081407231635434,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,to_q,0.0008150439759886073,0.11971420698842075,0.029278224187933192,0.2445676659810736,down,4.7464690613054765,1000
0,0,down_0,,,,320,320,pets,0.3942744984962249,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,to_q,0.001232107807800703,0.180925913363109,0.04450323496994144,0.24597490841804256,down,4.748930661198583,2500
0,0,down_0,0.6880928010521121,0.5340523073152738,0.762574820344322,320,320,pets,0.5577019522957622,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,to_q,0.0017428186009242571,0.2763470282234356,0.06765082109763516,0.2448038668356414,down,4.072815457563075,5000
0,0,down_0,,,,320,320,pets,0.23577738953466956,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,to_v,0.0007368043422958424,0.11554198406083338,0.018638690231040943,0.16131530354565823,down,4.164133729315836,1000
0,0,down_0,,,,320,320,pets,0.3780966040160084,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,to_v,0.0011815518875500264,0.1943424528761557,0.033129978358234294,0.1704721632763702,down,3.78503756101569,2500
0,0,down_0,0.7407124272143286,0.5950666979497353,0.7752396693282733,320,320,pets,0.5103832917667476,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,to_v,0.0015949477867710862,0.25051562041686826,0.05338709512081281,0.21310884739232824,down,4.150718454343433,5000
0,0,down_0,,,,768,320,pets,0.4422707581227437,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,to_k,0.0008921392087103724,0.3328864347580646,0.012268949323575721,0.03685626100232217,down,1.7651607254795456,1000
0,0,down_0,,,,768,320,pets,0.8384141376588945,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,to_k,0.0016912312460300785,0.7057089451467681,0.019635484174268563,0.02782377113015752,down,1.411451440273446,2500
0,0,down_0,0.7187705060231138,0.6365979783803906,0.8323094678702544,768,320,pets,1.1772537044397986,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,to_k,0.0023747312456022544,0.9083037239638683,0.02841819351744024,0.0312871044868365,down,1.6798787711165126,5000
0,0,down_0,,,,320,320,pets,0.26782141502969103,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,to_out,0.0008369419219677845,0.18635893122549838,0.011957348762090586,0.06416300353011756,down,2.065333447701944,1000
0,0,down_0,,,,320,320,pets,0.39692517871833743,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,to_out,0.0012403911834948044,0.25092926191996434,0.022131887600866627,0.08819970788391251,down,2.502157710067146,2500
0,0,down_0,0.7498505612337588,0.5940182018506599,0.7858163620733096,320,320,pets,0.5717251554282015,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,to_out,0.0017866411107131295,0.312587964501905,0.039332160703009336,0.12582749552012784,down,3.345261693854098,5000
0,0,down_0,,,,320,320,pets,0.2772357611657841,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,to_q,0.0008663617536430752,0.1663234961814273,0.01810839722054861,0.10887455853378522,down,2.778377729351163,1000
0,0,down_0,,,,320,320,pets,0.43787595584900946,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,to_q,0.0013683623620281546,0.24122293538797882,0.02835357561033537,0.11754096087393999,down,3.2950726981173504,2500
0,0,down_0,0.7271066624824027,0.5697414023983313,0.7867751790308246,320,320,pets,0.6497105963354435,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,to_q,0.002030345613548261,0.3669717091865671,0.04794467197641263,0.13064950451544954,down,3.1345465982711906,5000
0,0,down_0,,,,768,320,pets,0.32256755041877827,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,0.0006506764327077341,0.21105579554108897,0.00305590816775821,0.014479148321531294,down,2.335859882132955,1000
0,0,down_0,,,,768,320,pets,0.4975745848582847,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,0.0010036969170063572,0.2851437524962594,0.007224627130385057,0.025336789135788032,down,3.0450095385746807,2500
0,0,down_0,0.7340369163432586,0.5774792526806707,0.7696486910027753,768,320,pets,0.7750764772386156,attn2,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,0.0015634678585324325,0.4138562952989736,0.021525026441951343,0.052010871131974605,down,3.50743783033872,5000
1,0,down_0,,,,320,320,pets,0.22364449922209736,attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,to_k,0.0006988890600690543,0.09778311781695857,0.025769614791776287,0.26353848565163107,down,5.2310476988366625,1000
1,0,down_0,,,,320,320,pets,0.33381220377897913,attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,to_k,0.0010431631368093097,0.14345963870997638,0.03802717036832065,0.2650722580251151,down,5.414332893526699,2500
1,0,down_0,0.6255569944849834,0.47252796213073467,0.7126121422669821,320,320,pets,0.4625035713671707,attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,to_k,0.0014453236605224083,0.18584430186731937,0.05212651592045507,0.28048487576266923,down,6.193436391421226,5000
1,0,down_0,,,,320,320,pets,0.23544049108863757,attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,to_out,0.0007357515346519924,0.1046782101725511,0.020761218316951248,0.19833371513258152,down,5.058825899231037,1000
1,0,down_0,,,,320,320,pets,0.3581903580364676,attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,to_out,0.0011193448688639612,0.15065054691011004,0.03563237066599686,0.23652334091596716,down,5.6530959513420544,2500
1,0,down_0,0.7033217685049494,0.5763026706933233,0.76391111004998,320,320,pets,0.4901942362431205,attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,to_out,0.0015318569882597514,0.19414255031460245,0.05714980774261422,0.2943703358692084,down,6.375216535183712,5000
1,0,down_0,,,,320,320,pets,0.2289673036372105,attn1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,to_q,0.0007155228238662828,0.10110632230523302,0.02457868102606389,0.24309736983472255,down,5.128499444729107,1000
