timestamp,dataset,t,prompt,cfg,lora,block,seed,probe_acc,knn_acc,n_train,n_test,train_file
2026-08-02T21:13:02,pets,500,P0,off,none,down_2,0,0.3974,0.2041,3680,3669,pets_trainval_t500_P0_cfgoff.pt
2026-08-02T21:13:02,pets,500,P0,off,none,mid,0,0.3968,0.1772,3680,3669,pets_trainval_t500_P0_cfgoff.pt
2026-08-02T21:13:02,pets,500,P0,off,none,up_0,0,0.3415,0.1085,3680,3669,pets_trainval_t500_P0_cfgoff.pt
2026-08-02T21:13:03,pets,500,P0,off,none,up_1,0,0.5075,0.2464,3680,3669,pets_trainval_t500_P0_cfgoff.pt
2026-08-02T21:13:03,pets,500,P0,off,none,up_2,0,0.3726,0.1578,3680,3669,pets_trainval_t500_P0_cfgoff.pt
2026-08-02T21:13:11,pets,50,P0,off,none,down_2,0,0.5972,0.2854,3680,3669,pets_trainval_t50_P0_cfgoff.pt
2026-08-02T21:13:12,pets,50,P0,off,none,mid,0,0.5718,0.2071,3680,3669,pets_trainval_t50_P0_cfgoff.pt
2026-08-02T21:13:12,pets,50,P0,off,none,up_0,0,0.5010,0.1360,3680,3669,pets_trainval_t50_P0_cfgoff.pt
2026-08-02T21:13:12,pets,50,P0,off,none,up_1,0,0.6645,0.3031,3680,3669,pets_trainval_t50_P0_cfgoff.pt
2026-08-02T21:13:13,pets,50,P0,off,none,up_2,0,0.4276,0.1671,3680,3669,pets_trainval_t50_P0_cfgoff.pt
2026-08-07T17:20:51,cub,-,-,off,none,clip,0,0.8020,0.6997,5994,5794,cub_train_clip.pt
2026-08-07T17:20:52,cub,-,-,off,none,dinov2,0,0.8954,0.8652,5994,5794,cub_train_dinov2.pt
2026-08-07T17:20:55,cub,-,-,off,none,resnet50,0,0.6068,0.5102,5994,5794,cub_train_resnet50.pt
2026-08-07T17:21:17,pets,-,-,off,none,clip,0,0.9234,0.8247,3680,3669,pets_trainval_clip.pt
2026-08-07T17:21:18,pets,-,-,off,none,dinov2,0,0.9572,0.9389,3680,3669,pets_trainval_dinov2.pt
2026-08-07T17:21:20,pets,-,-,off,none,resnet50,0,0.9052,0.9062,3680,3669,pets_trainval_resnet50.pt
2026-08-09T05:07:19,cub,200,P1,off,none,down_2,0,0.2233,0.0759,5994,5794,cub_train_t200_P1_cfgoff.pt
2026-08-09T05:07:20,cub,200,P1,off,none,mid,0,0.2240,0.0904,5994,5794,cub_train_t200_P1_cfgoff.pt
2026-08-09T05:07:21,cub,200,P1,off,none,up_0,0,0.1757,0.0651,5994,5794,cub_train_t200_P1_cfgoff.pt
2026-08-09T05:07:22,cub,200,P1,off,none,up_1,0,0.2138,0.0677,5994,5794,cub_train_t200_P1_cfgoff.pt
2026-08-09T05:07:23,cub,200,P1,off,none,up_2,0,0.1348,0.0476,5994,5794,cub_train_t200_P1_cfgoff.pt
2026-08-09T05:07:26,cub,200,P2,off,none,down_2,0,0.2169,0.0770,5994,5794,cub_train_t200_P2_cfgoff.pt
2026-08-09T05:07:27,cub,200,P2,off,none,mid,0,0.2171,0.0872,5994,5794,cub_train_t200_P2_cfgoff.pt
2026-08-09T05:07:29,cub,200,P2,off,none,up_0,0,0.1712,0.0635,5994,5794,cub_train_t200_P2_cfgoff.pt
2026-08-09T05:07:30,cub,200,P2,off,none,up_1,0,0.2088,0.0685,5994,5794,cub_train_t200_P2_cfgoff.pt
2026-08-09T05:07:31,cub,200,P2,off,none,up_2,0,0.1313,0.0487,5994,5794,cub_train_t200_P2_cfgoff.pt
2026-08-09T05:07:33,cub,200,P3,off,none,down_2,0,0.8619,0.1790,5994,5794,cub_train_t200_P3_cfgoff.pt
2026-08-09T05:07:34,cub,200,P3,off,none,mid,0,0.9075,0.2308,5994,5794,cub_train_t200_P3_cfgoff.pt
2026-08-09T05:07:36,cub,200,P3,off,none,up_0,0,0.6094,0.0973,5994,5794,cub_train_t200_P3_cfgoff.pt
2026-08-09T05:07:37,cub,200,P3,off,none,up_1,0,0.6115,0.0922,5994,5794,cub_train_t200_P3_cfgoff.pt
2026-08-09T05:07:38,cub,200,P3,off,none,up_2,0,0.1857,0.0504,5994,5794,cub_train_t200_P3_cfgoff.pt
2026-08-09T05:07:40,cub,200,P4,off,none,down_2,0,0.8535,0.1705,5994,5794,cub_train_t200_P4_cfgoff.pt
2026-08-09T05:07:42,cub,200,P4,off,none,mid,0,0.9123,0.2406,5994,5794,cub_train_t200_P4_cfgoff.pt
2026-08-09T05:07:43,cub,200,P4,off,none,up_0,0,0.6143,0.0958,5994,5794,cub_train_t200_P4_cfgoff.pt
2026-08-09T05:07:44,cub,200,P4,off,none,up_1,0,0.6080,0.0958,5994,5794,cub_train_t200_P4_cfgoff.pt
2026-08-09T05:07:45,cub,200,P4,off,none,up_2,0,0.1843,0.0523,5994,5794,cub_train_t200_P4_cfgoff.pt
2026-08-09T05:07:49,cub,300,P1,off,none,down_2,0,0.2207,0.0787,5994,5794,cub_train_t300_P1_cfgoff.pt
2026-08-09T05:07:50,cub,300,P1,off,none,mid,0,0.2276,0.0877,5994,5794,cub_train_t300_P1_cfgoff.pt
2026-08-09T05:07:51,cub,300,P1,off,none,up_0,0,0.1741,0.0632,5994,5794,cub_train_t300_P1_cfgoff.pt
2026-08-09T05:07:53,cub,300,P1,off,none,up_1,0,0.2054,0.0644,5994,5794,cub_train_t300_P1_cfgoff.pt
2026-08-09T05:07:54,cub,300,P1,off,none,up_2,0,0.1293,0.0490,5994,5794,cub_train_t300_P1_cfgoff.pt
2026-08-09T05:07:57,cub,300,P2,off,none,down_2,0,0.2180,0.0739,5994,5794,cub_train_t300_P2_cfgoff.pt
2026-08-09T05:07:58,cub,300,P2,off,none,mid,0,0.2207,0.0868,5994,5794,cub_train_t300_P2_cfgoff.pt
2026-08-09T05:07:59,cub,300,P2,off,none,up_0,0,0.1773,0.0621,5994,5794,cub_train_t300_P2_cfgoff.pt
2026-08-09T05:08:00,cub,300,P2,off,none,up_1,0,0.2049,0.0625,5994,5794,cub_train_t300_P2_cfgoff.pt
2026-08-09T05:08:01,cub,300,P2,off,none,up_2,0,0.1300,0.0488,5994,5794,cub_train_t300_P2_cfgoff.pt
2026-08-09T05:08:04,cub,300,P3,off,none,down_2,0,0.9218,0.2342,5994,5794,cub_train_t300_P3_cfgoff.pt
2026-08-09T05:08:05,cub,300,P3,off,none,mid,0,0.9411,0.2741,5994,5794,cub_train_t300_P3_cfgoff.pt
2026-08-09T05:08:06,cub,300,P3,off,none,up_0,0,0.6966,0.1060,5994,5794,cub_train_t300_P3_cfgoff.pt
2026-08-09T05:08:07,cub,300,P3,off,none,up_1,0,0.6914,0.1086,5994,5794,cub_train_t300_P3_cfgoff.pt
